emp_id,similarity,rule_norm,final_score,missing_must_haves
E0291,0.015,0.222,0.077,ml; scikit-learn
E0304,0.015,0.222,0.077,ml; scikit-learn
E0299,0.014,0.222,0.077,ml; scikit-learn
E0444,0.015,0.222,0.077,ml; scikit-learn
E0463,0.014,0.222,0.077,ml; scikit-learn
E0177,0.015,0.222,0.077,ml; scikit-learn
E0412,0.015,0.222,0.077,ml; scikit-learn
E0438,0.015,0.222,0.077,ml; scikit-learn
E0042,0.014,0.222,0.077,ml; scikit-learn
E0581,0.015,0.222,0.077,ml; scikit-learn
E0568,0.015,0.222,0.077,ml; scikit-learn
E0080,0.015,0.222,0.077,ml; scikit-learn
E0574,0.015,0.222,0.077,ml; scikit-learn
E0575,0.015,0.222,0.077,ml; scikit-learn
E0587,0.015,0.222,0.077,ml; scikit-learn
E0547,0.015,0.222,0.077,ml; scikit-learn
E0536,0.015,0.222,0.077,ml; scikit-learn
E0552,0.015,0.222,0.077,ml; scikit-learn
E0550,0.015,0.222,0.077,ml; scikit-learn
E0131,0.014,0.222,0.076,ml; scikit-learn
E0141,0.013,0.222,0.076,ml; scikit-learn
E0287,0.013,0.222,0.076,ml; scikit-learn
E0364,0.014,0.222,0.076,ml; scikit-learn
E0179,0.013,0.222,0.076,ml; scikit-learn
E0470,0.014,0.222,0.076,ml; scikit-learn
E0220,0.013,0.222,0.076,ml; scikit-learn
E0419,0.014,0.222,0.076,ml; scikit-learn
E0401,0.014,0.222,0.076,ml; scikit-learn
E0235,0.014,0.222,0.076,ml; scikit-learn
E0226,0.014,0.222,0.076,ml; scikit-learn
E0160,0.013,0.222,0.076,ml; scikit-learn
E0038,0.014,0.222,0.076,ml; scikit-learn
E0034,0.013,0.222,0.076,ml; scikit-learn
E0563,0.013,0.222,0.076,ml; scikit-learn
E0367,0.013,0.222,0.076,ml; scikit-learn
E0301,0.013,0.222,0.076,ml; scikit-learn
E0394,0.012,0.222,0.075,ml; scikit-learn
E0249,0.011,0.222,0.075,ml; scikit-learn
E0010,0.011,0.222,0.075,ml; scikit-learn
E0007,0.012,0.222,0.075,ml; scikit-learn
E0003,0.011,0.222,0.075,ml; scikit-learn
E0139,0.012,0.222,0.075,ml; scikit-learn
E0392,0.012,0.222,0.075,ml; scikit-learn
E0276,0.013,0.222,0.075,ml; scikit-learn
E0483,0.012,0.222,0.075,ml; scikit-learn
E0570,0.012,0.222,0.075,ml; scikit-learn
E0218,0.012,0.222,0.075,ml; scikit-learn
E0544,0.012,0.222,0.075,ml; scikit-learn
E0543,0.012,0.222,0.075,ml; scikit-learn
E0110,0.012,0.222,0.075,ml; scikit-learn
E0050,0.012,0.222,0.075,ml; scikit-learn
E0311,0.011,0.222,0.075,ml; scikit-learn
E0410,0.012,0.222,0.075,ml; scikit-learn
E0484,0.011,0.222,0.075,ml; scikit-learn
E0237,0.011,0.222,0.074,ml; scikit-learn
E0528,0.011,0.222,0.074,ml; scikit-learn
E0156,0.011,0.222,0.074,ml; scikit-learn
E0406,0.011,0.222,0.074,ml; scikit-learn
E0585,0.011,0.222,0.074,ml; scikit-learn
E0021,0.011,0.222,0.074,ml; scikit-learn
E0564,0.01,0.222,0.074,ml; scikit-learn
E0202,0.01,0.222,0.074,ml; scikit-learn
E0011,0.011,0.222,0.074,ml; scikit-learn
E0558,0.01,0.222,0.073,ml; scikit-learn
E0057,0.009,0.222,0.073,ml; scikit-learn
E0541,0.009,0.222,0.073,ml; scikit-learn
E0475,0.01,0.222,0.073,ml; scikit-learn
E0151,0.008,0.222,0.073,ml; scikit-learn
E0461,0.009,0.222,0.073,ml; scikit-learn
E0148,0.009,0.222,0.073,ml; scikit-learn
E0469,0.009,0.222,0.073,ml; scikit-learn
E0398,0.009,0.222,0.073,ml; scikit-learn
E0210,0.009,0.222,0.073,ml; scikit-learn
E0105,0.009,0.222,0.073,ml; scikit-learn
E0165,0.009,0.222,0.073,ml; scikit-learn
E0174,0.009,0.222,0.073,ml; scikit-learn
E0051,0.009,0.222,0.073,ml; scikit-learn
E0353,0.009,0.222,0.073,ml; scikit-learn
E0157,0.008,0.222,0.073,ml; scikit-learn
E0554,0.008,0.222,0.072,ml; scikit-learn
E0593,0.008,0.222,0.072,ml; scikit-learn
E0434,0.008,0.222,0.072,ml; scikit-learn
E0508,0.008,0.222,0.072,ml; scikit-learn
E0497,0.008,0.222,0.072,ml; scikit-learn
E0103,0.007,0.222,0.072,ml; scikit-learn
E0123,0.007,0.222,0.072,ml; scikit-learn
E0128,0.008,0.222,0.072,ml; scikit-learn
E0595,0.008,0.222,0.072,ml; scikit-learn
E0090,0.008,0.222,0.072,ml; scikit-learn
E0099,0.007,0.222,0.072,ml; scikit-learn
E0526,0.008,0.222,0.072,ml; scikit-learn
E0146,0.008,0.222,0.072,ml; scikit-learn
E0577,0.008,0.222,0.072,ml; scikit-learn
E0043,0.007,0.222,0.072,ml; scikit-learn
E0478,0.008,0.222,0.072,ml; scikit-learn
E0255,0.008,0.222,0.072,ml; scikit-learn
E0066,0.006,0.222,0.071,ml; scikit-learn
E0072,0.007,0.222,0.071,ml; scikit-learn
E0358,0.006,0.222,0.071,ml; scikit-learn
E0018,0.006,0.222,0.071,ml; scikit-learn
E0325,0.007,0.222,0.071,ml; scikit-learn
E0309,0.006,0.222,0.071,ml; scikit-learn
E0531,0.006,0.222,0.071,ml; scikit-learn
E0539,0.007,0.222,0.071,ml; scikit-learn
E0377,0.006,0.222,0.071,ml; scikit-learn
E0363,0.006,0.222,0.071,ml; scikit-learn
E0445,0.006,0.222,0.071,ml; scikit-learn
E0456,0.006,0.222,0.071,ml; scikit-learn
E0085,0.006,0.222,0.071,ml; scikit-learn
E0313,0.006,0.222,0.071,ml; scikit-learn
E0083,0.006,0.222,0.071,ml; scikit-learn
E0522,0.006,0.222,0.071,ml; scikit-learn
E0089,0.006,0.222,0.071,ml; scikit-learn
E0513,0.006,0.222,0.071,ml; scikit-learn
E0435,0.006,0.222,0.071,ml; scikit-learn
E0033,0.006,0.222,0.071,ml; scikit-learn
E0045,0.006,0.222,0.071,ml; scikit-learn
E0407,0.006,0.222,0.071,ml; scikit-learn
E0225,0.006,0.222,0.071,ml; scikit-learn
E0234,0.006,0.222,0.071,ml; scikit-learn
E0578,0.006,0.222,0.071,ml; scikit-learn
E0573,0.006,0.222,0.071,ml; scikit-learn
E0239,0.006,0.222,0.071,ml; scikit-learn
E0194,0.006,0.222,0.071,ml; scikit-learn
E0186,0.006,0.222,0.071,ml; scikit-learn
E0182,0.006,0.222,0.071,ml; scikit-learn
E0464,0.007,0.222,0.071,ml; scikit-learn
E0448,0.006,0.222,0.071,ml; scikit-learn
E0195,0.007,0.222,0.071,ml; scikit-learn
E0170,0.006,0.222,0.071,ml; scikit-learn
E0002,0.006,0.222,0.071,ml; scikit-learn
E0378,0.006,0.222,0.071,ml; scikit-learn
E0135,0.006,0.222,0.071,ml; scikit-learn
E0293,0.006,0.222,0.071,ml; scikit-learn
E0281,0.007,0.222,0.071,ml; scikit-learn
E0390,0.006,0.222,0.071,ml; scikit-learn
E0555,0.005,0.222,0.07,ml; scikit-learn
E0548,0.005,0.222,0.07,ml; scikit-learn
E0077,0.005,0.222,0.07,ml; scikit-learn
E0171,0.005,0.222,0.07,ml; scikit-learn
E0472,0.005,0.222,0.07,ml; scikit-learn
E0261,0.004,0.222,0.07,ml; scikit-learn
E0248,0.005,0.222,0.07,ml; scikit-learn
E0203,0.005,0.222,0.07,ml; scikit-learn
E0191,0.005,0.222,0.07,ml; scikit-learn
E0411,0.005,0.222,0.07,ml; scikit-learn
E0173,0.005,0.222,0.07,ml; scikit-learn
E0117,0.005,0.222,0.07,ml; scikit-learn
E0506,0.005,0.222,0.07,ml; scikit-learn
E0130,0.005,0.222,0.07,ml; scikit-learn
E0288,0.005,0.222,0.07,ml; scikit-learn
E0284,0.005,0.222,0.07,ml; scikit-learn
E0371,0.005,0.222,0.07,ml; scikit-learn
E0296,0.004,0.222,0.07,ml; scikit-learn
E0176,0.005,0.222,0.07,ml; scikit-learn
E0382,0.005,0.222,0.07,ml; scikit-learn
E0155,0.005,0.222,0.07,ml; scikit-learn
E0502,0.005,0.222,0.07,ml; scikit-learn
E0361,0.005,0.222,0.07,ml; scikit-learn
E0056,0.005,0.222,0.07,ml; scikit-learn
E0343,0.005,0.222,0.07,ml; scikit-learn
E0020,0.005,0.222,0.07,ml; scikit-learn
E0104,0.003,0.222,0.069,python; scikit-learn
E0107,0.003,0.222,0.069,python; scikit-learn
E0518,0.003,0.222,0.069,python; scikit-learn
E0095,0.004,0.222,0.069,python; scikit-learn
E0096,0.003,0.222,0.069,python; scikit-learn
E0084,0.003,0.222,0.069,python; scikit-learn
E0054,0.003,0.222,0.069,python; scikit-learn
E0052,0.003,0.222,0.069,python; scikit-learn
E0516,0.003,0.222,0.069,python; scikit-learn
E0275,0.003,0.222,0.069,python; scikit-learn
E0286,0.003,0.222,0.069,python; scikit-learn
E0283,0.003,0.222,0.069,python; scikit-learn
E0503,0.003,0.222,0.069,python; scikit-learn
E0512,0.003,0.222,0.069,python; scikit-learn
E0520,0.003,0.222,0.069,python; scikit-learn
E0081,0.003,0.222,0.069,python; scikit-learn
E0514,0.003,0.222,0.069,python; scikit-learn
E0257,0.003,0.222,0.069,python; scikit-learn
E0262,0.003,0.222,0.069,python; scikit-learn
E0245,0.003,0.222,0.069,python; scikit-learn
E0433,0.003,0.222,0.069,python; scikit-learn
E0442,0.003,0.222,0.069,python; scikit-learn
E0417,0.003,0.222,0.069,python; scikit-learn
E0408,0.003,0.222,0.069,python; scikit-learn
E0250,0.003,0.222,0.069,python; scikit-learn
E0252,0.003,0.222,0.069,python; scikit-learn
E0254,0.003,0.222,0.069,python; scikit-learn
E0298,0.003,0.222,0.069,python; scikit-learn
E0300,0.003,0.222,0.069,python; scikit-learn
E0437,0.003,0.222,0.069,python; scikit-learn
E0426,0.003,0.222,0.069,python; scikit-learn
E0381,0.003,0.222,0.069,python; scikit-learn
E0326,0.003,0.222,0.069,python; scikit-learn
E0346,0.003,0.222,0.069,python; scikit-learn
E0366,0.003,0.222,0.069,python; scikit-learn
E0354,0.003,0.222,0.069,python; scikit-learn
E0342,0.003,0.222,0.069,python; scikit-learn
E0232,0.003,0.222,0.069,python; scikit-learn
E0420,0.003,0.222,0.069,python; scikit-learn
E0418,0.003,0.222,0.069,python; scikit-learn
E0181,0.003,0.222,0.069,python; scikit-learn
E0180,0.003,0.222,0.069,python; scikit-learn
E0121,0.003,0.222,0.069,python; scikit-learn
E0122,0.003,0.222,0.069,python; scikit-learn
E0457,0.003,0.222,0.069,python; scikit-learn
E0453,0.003,0.222,0.069,python; scikit-learn
E0452,0.003,0.222,0.069,python; scikit-learn
E0451,0.003,0.222,0.069,python; scikit-learn
E0154,0.003,0.222,0.069,python; scikit-learn
E0167,0.003,0.222,0.069,python; scikit-learn
E0166,0.003,0.222,0.069,python; scikit-learn
E0162,0.003,0.222,0.069,python; scikit-learn
E0008,0.003,0.222,0.069,python; scikit-learn
E0076,0.003,0.222,0.069,python; scikit-learn
E0545,0.003,0.222,0.069,python; scikit-learn
E0060,0.003,0.222,0.069,python; scikit-learn
E0312,0.003,0.222,0.069,python; scikit-learn
E0317,0.003,0.222,0.069,python; scikit-learn
E0579,0.003,0.222,0.069,python; scikit-learn
E0023,0.003,0.222,0.069,python; scikit-learn
E0586,0.003,0.222,0.069,python; scikit-learn
E0047,0.003,0.222,0.069,python; scikit-learn
E0035,0.003,0.222,0.069,python; scikit-learn
E0553,0.003,0.222,0.069,python; scikit-learn
E0075,0.003,0.222,0.069,python; scikit-learn
E0529,0.003,0.222,0.069,python; scikit-learn
E0058,0.003,0.222,0.069,python; scikit-learn
E0582,0.003,0.222,0.069,python; scikit-learn
E0068,0.003,0.222,0.069,python; scikit-learn
E0070,0.003,0.222,0.069,python; scikit-learn
E0064,0.003,0.222,0.069,python; scikit-learn
E0468,0.003,0.222,0.069,python; scikit-learn
E0199,0.003,0.222,0.069,python; scikit-learn
E0200,0.003,0.222,0.069,python; scikit-learn
E0201,0.003,0.222,0.069,python; scikit-learn
E0206,0.003,0.222,0.069,python; scikit-learn
E0208,0.003,0.222,0.069,python; scikit-learn
E0145,0.003,0.222,0.069,python; scikit-learn
E0192,0.003,0.222,0.069,python; scikit-learn
E0185,0.003,0.222,0.069,python; scikit-learn
E0495,0.003,0.222,0.069,python; scikit-learn
E0474,0.003,0.222,0.069,python; scikit-learn
E0471,0.003,0.222,0.069,python; scikit-learn
E0490,0.003,0.222,0.069,python; scikit-learn
E0487,0.003,0.222,0.069,python; scikit-learn
E0137,0.003,0.222,0.069,python; scikit-learn
E0134,0.003,0.222,0.069,python; scikit-learn
E0129,0.003,0.222,0.069,python; scikit-learn
E0460,0.003,0.222,0.069,python; scikit-learn
E0458,0.003,0.222,0.069,python; scikit-learn
E0196,0.003,0.222,0.069,python; scikit-learn
E0402,0.003,0.222,0.069,python; scikit-learn
E0403,0.003,0.222,0.069,python; scikit-learn
E0421,0.003,0.222,0.068,python; scikit-learn
E0118,0.002,0.222,0.068,python; scikit-learn
E0538,0.002,0.222,0.068,python; scikit-learn
E0355,0.002,0.222,0.068,python; scikit-learn
E0263,0.002,0.222,0.068,python; scikit-learn
E0337,0.002,0.222,0.068,python; scikit-learn
E0260,0.003,0.222,0.068,python; scikit-learn
E0344,0.003,0.222,0.068,python; scikit-learn
E0246,0.003,0.222,0.068,python; scikit-learn
E0416,0.002,0.222,0.068,python; scikit-learn
E0339,0.002,0.222,0.068,python; scikit-learn
E0556,0.002,0.222,0.068,python; scikit-learn
E0091,0.004,0.0,0.003,python; ml; scikit-learn
E0389,0.004,0.0,0.003,python; ml; scikit-learn
E0405,0.003,0.0,0.002,python; ml; scikit-learn
E0436,0.003,0.0,0.002,python; ml; scikit-learn
E0374,0.003,0.0,0.002,python; ml; scikit-learn
E0439,0.003,0.0,0.002,python; ml; scikit-learn
E0251,0.003,0.0,0.002,python; ml; scikit-learn
E0413,0.003,0.0,0.002,python; ml; scikit-learn
E0415,0.003,0.0,0.002,python; ml; scikit-learn
E0443,0.003,0.0,0.002,python; ml; scikit-learn
E0388,0.003,0.0,0.002,python; ml; scikit-learn
E0395,0.003,0.0,0.002,python; ml; scikit-learn
E0302,0.003,0.0,0.002,python; ml; scikit-learn
E0303,0.003,0.0,0.002,python; ml; scikit-learn
E0370,0.003,0.0,0.002,python; ml; scikit-learn
E0322,0.003,0.0,0.002,python; ml; scikit-learn
E0321,0.003,0.0,0.002,python; ml; scikit-learn
E0351,0.003,0.0,0.002,python; ml; scikit-learn
E0350,0.003,0.0,0.002,python; ml; scikit-learn
E0347,0.003,0.0,0.002,python; ml; scikit-learn
E0357,0.002,0.0,0.002,python; ml; scikit-learn
E0368,0.003,0.0,0.002,python; ml; scikit-learn
E0333,0.003,0.0,0.002,python; ml; scikit-learn
E0386,0.003,0.0,0.002,python; ml; scikit-learn
E0384,0.003,0.0,0.002,python; ml; scikit-learn
E0383,0.003,0.0,0.002,python; ml; scikit-learn
E0265,0.003,0.0,0.002,python; ml; scikit-learn
E0269,0.003,0.0,0.002,python; ml; scikit-learn
E0271,0.003,0.0,0.002,python; ml; scikit-learn
E0241,0.003,0.0,0.002,python; ml; scikit-learn
E0243,0.003,0.0,0.002,python; ml; scikit-learn
E0359,0.003,0.0,0.002,python; ml; scikit-learn
E0340,0.003,0.0,0.002,python; ml; scikit-learn
E0521,0.003,0.0,0.002,python; ml; scikit-learn
E0519,0.003,0.0,0.002,python; ml; scikit-learn
E0098,0.003,0.0,0.002,python; ml; scikit-learn
E0101,0.003,0.0,0.002,python; ml; scikit-learn
E0086,0.003,0.0,0.002,python; ml; scikit-learn
E0094,0.003,0.0,0.002,python; ml; scikit-learn
E0504,0.003,0.0,0.002,python; ml; scikit-learn
E0527,0.003,0.0,0.002,python; ml; scikit-learn
E0049,0.003,0.0,0.002,python; ml; scikit-learn
E0109,0.003,0.0,0.002,python; ml; scikit-learn
E0001,0.003,0.0,0.002,python; ml; scikit-learn
E0019,0.003,0.0,0.002,python; ml; scikit-learn
E0108,0.003,0.0,0.002,python; ml; scikit-learn
E0106,0.003,0.0,0.002,python; ml; scikit-learn
E0524,0.003,0.0,0.002,python; ml; scikit-learn
E0523,0.003,0.0,0.002,python; ml; scikit-learn
E0138,0.002,0.0,0.002,python; ml; scikit-learn
E0499,0.003,0.0,0.002,python; ml; scikit-learn
E0278,0.003,0.0,0.002,python; ml; scikit-learn
E0277,0.003,0.0,0.002,python; ml; scikit-learn
E0292,0.003,0.0,0.002,python; ml; scikit-learn
E0297,0.003,0.0,0.002,python; ml; scikit-learn
E0330,0.003,0.0,0.002,python; ml; scikit-learn
E0324,0.003,0.0,0.002,python; ml; scikit-learn
E0267,0.003,0.0,0.002,python; ml; scikit-learn
E0189,0.003,0.0,0.002,python; ml; scikit-learn
E0147,0.003,0.0,0.002,python; ml; scikit-learn
E0230,0.003,0.0,0.002,python; ml; scikit-learn
E0238,0.003,0.0,0.002,python; ml; scikit-learn
E0152,0.003,0.0,0.002,python; ml; scikit-learn
E0479,0.003,0.0,0.002,python; ml; scikit-learn
E0466,0.003,0.0,0.002,python; ml; scikit-learn
E0496,0.003,0.0,0.002,python; ml; scikit-learn
E0494,0.003,0.0,0.002,python; ml; scikit-learn
E0493,0.003,0.0,0.002,python; ml; scikit-learn
E0132,0.003,0.0,0.002,python; ml; scikit-learn
E0455,0.003,0.0,0.002,python; ml; scikit-learn
E0126,0.003,0.0,0.002,python; ml; scikit-learn
E0449,0.003,0.0,0.002,python; ml; scikit-learn
E0447,0.003,0.0,0.002,python; ml; scikit-learn
E0446,0.003,0.0,0.002,python; ml; scikit-learn
E0183,0.003,0.0,0.002,python; ml; scikit-learn
E0462,0.003,0.0,0.002,python; ml; scikit-learn
E0178,0.003,0.0,0.002,python; ml; scikit-learn
E0198,0.003,0.0,0.002,python; ml; scikit-learn
E0459,0.003,0.0,0.002,python; ml; scikit-learn
E0227,0.003,0.0,0.002,python; ml; scikit-learn
E0224,0.002,0.0,0.002,python; ml; scikit-learn
E0223,0.003,0.0,0.002,python; ml; scikit-learn
E0222,0.003,0.0,0.002,python; ml; scikit-learn
E0217,0.002,0.0,0.002,python; ml; scikit-learn
E0213,0.003,0.0,0.002,python; ml; scikit-learn
E0212,0.003,0.0,0.002,python; ml; scikit-learn
E0211,0.003,0.0,0.002,python; ml; scikit-learn
E0233,0.003,0.0,0.002,python; ml; scikit-learn
E0006,0.003,0.0,0.002,python; ml; scikit-learn
E0596,0.003,0.0,0.002,python; ml; scikit-learn
E0012,0.003,0.0,0.002,python; ml; scikit-learn
E0022,0.003,0.0,0.002,python; ml; scikit-learn
E0159,0.003,0.0,0.002,python; ml; scikit-learn
E0482,0.003,0.0,0.002,python; ml; scikit-learn
E0485,0.003,0.0,0.002,python; ml; scikit-learn
E0534,0.003,0.0,0.002,python; ml; scikit-learn
E0533,0.003,0.0,0.002,python; ml; scikit-learn
E0078,0.003,0.0,0.002,python; ml; scikit-learn
E0079,0.003,0.0,0.002,python; ml; scikit-learn
E0542,0.003,0.0,0.002,python; ml; scikit-learn
E0540,0.003,0.0,0.002,python; ml; scikit-learn
E0535,0.003,0.0,0.002,python; ml; scikit-learn
E0551,0.002,0.0,0.002,python; ml; scikit-learn
E0175,0.002,0.0,0.002,python; ml; scikit-learn
E0557,0.003,0.0,0.002,python; ml; scikit-learn
E0016,0.003,0.0,0.002,python; ml; scikit-learn
E0560,0.003,0.0,0.002,python; ml; scikit-learn
E0305,0.003,0.0,0.002,python; ml; scikit-learn
E0069,0.002,0.0,0.002,python; ml; scikit-learn
E0063,0.002,0.0,0.002,python; ml; scikit-learn
E0067,0.003,0.0,0.002,python; ml; scikit-learn
E0320,0.003,0.0,0.002,python; ml; scikit-learn
E0576,0.002,0.0,0.002,python; ml; scikit-learn
E0318,0.003,0.0,0.002,python; ml; scikit-learn
E0319,0.003,0.0,0.002,python; ml; scikit-learn
E0591,0.003,0.0,0.002,python; ml; scikit-learn
E0048,0.002,0.0,0.002,python; ml; scikit-learn
